case,version,mode,RAG,replicate
BookInfo,v1,notsummarized,RAG0,1
BookInfo,v1,summarized,RAG1,1
BookInfo,v2,notsummarized,RAG1,1
BookInfo,v2,summarized,RAG0,1
BookInfo,v3,notsummarized,RAG0,1
BookInfo,v3,summarized,RAG1,1
BookInfo,v1,notsummarized,RAG0,2
BookInfo,v1,summarized,RAG1,2
BookInfo,v2,notsummarized,RAG1,2
BookInfo,v2,summarized,RAG0,2
BookInfo,v3,notsummarized,RAG0,2
BookInfo,v3,summarized,RAG1,2
BookInfo,v1,notsummarized,RAG0,3
BookInfo,v1,summarized,RAG1,3
BookInfo,v2,notsummarized,RAG1,3
BookInfo,v2,summarized,RAG0,3
BookInfo,v3,notsummarized,RAG0,3
BookInfo,v3,summarized,RAG1,3
BookInfo,v1,notsummarized,RAG0,4
BookInfo,v1,summarized,RAG1,4
BookInfo,v2,notsummarized,RAG1,4
BookInfo,v2,summarized,RAG0,4
BookInfo,v3,notsummarized,RAG0,4
BookInfo,v3,summarized,RAG1,4
BookInfo,v1,notsummarized,RAG0,5
BookInfo,v1,summarized,RAG1,5
BookInfo,v2,notsummarized,RAG1,5
BookInfo,v2,summarized,RAG0,5
BookInfo,v3,notsummarized,RAG0,5
BookInfo,v3,summarized,RAG1,5
BookInfo,v1,notsummarized,RAG0,6
BookInfo,v1,summarized,RAG1,6
BookInfo,v2,notsummarized,RAG1,6
BookInfo,v2,summarized,RAG0,6
BookInfo,v3,notsummarized,RAG0,6
BookInfo,v3,summarized,RAG1,6
BookInfo,v1,notsummarized,RAG0,7
BookInfo,v1,summarized,RAG1,7
BookInfo,v2,notsummarized,RAG1,7
BookInfo,v2,summarized,RAG0,7
BookInfo,v3,notsummarized,RAG0,7
BookInfo,v3,summarized,RAG1,7
BookInfo,v1,notsummarized,RAG0,8
BookInfo,v1,summarized,RAG1,8
BookInfo,v2,notsummarized,RAG1,8
BookInfo,v2,summarized,RAG0,8
BookInfo,v3,notsummarized,RAG0,8
BookInfo,v3,summarized,RAG1,8
BookInfo,v1,notsummarized,RAG0,9
BookInfo,v1,summarized,RAG1,9
BookInfo,v2,notsummarized,RAG1,9
BookInfo,v2,summarized,RAG0,9
BookInfo,v3,notsummarized,RAG0,9
BookInfo,v3,summarized,RAG1,9
BookInfo,v1,notsummarized,RAG0,10
BookInfo,v1,summarized,RAG1,10
BookInfo,v2,notsummarized,RAG1,10
BookInfo,v2,summarized,RAG0,10
BookInfo,v3,notsummarized,RAG0,10
BookInfo,v3,summarized,RAG1,10
JetRacer,v1,notsummarized,RAG0,1
JetRacer,v1,summarized,RAG1,1
JetRacer,v2,notsummarized,RAG1,1
JetRacer,v2,summarized,RAG0,1
JetRacer,v3,notsummarized,RAG0,1
JetRacer,v3,summarized,RAG1,1
JetRacer,v1,notsummarized,RAG0,2
JetRacer,v1,summarized,RAG1,2
JetRacer,v2,notsummarized,RAG1,2
JetRacer,v2,summarized,RAG0,2
JetRacer,v3,notsummarized,RAG0,2
JetRacer,v3,summarized,RAG1,2
JetRacer,v1,notsummarized,RAG0,3
JetRacer,v1,summarized,RAG1,3
JetRacer,v2,notsummarized,RAG1,3
JetRacer,v2,summarized,RAG0,3
JetRacer,v3,notsummarized,RAG0,3
JetRacer,v3,summarized,RAG1,3
JetRacer,v1,notsummarized,RAG0,4
JetRacer,v1,summarized,RAG1,4
JetRacer,v2,notsummarized,RAG1,4
JetRacer,v2,summarized,RAG0,4
JetRacer,v3,notsummarized,RAG0,4
JetRacer,v3,summarized,RAG1,4
JetRacer,v1,notsummarized,RAG0,5
JetRacer,v1,summarized,RAG1,5
JetRacer,v2,notsummarized,RAG1,5
JetRacer,v2,summarized,RAG0,5
JetRacer,v3,notsummarized,RAG0,5
JetRacer,v3,summarized,RAG1,5
JetRacer,v1,notsummarized,RAG0,6
JetRacer,v1,summarized,RAG1,6
JetRacer,v2,notsummarized,RAG1,6
JetRacer,v2,summarized,RAG0,6
JetRacer,v3,notsummarized,RAG0,6
JetRacer,v3,summarized,RAG1,6
JetRacer,v1,notsummarized,RAG0,7
JetRacer,v1,summarized,RAG1,7
JetRacer,v2,notsummarized,RAG1,7
JetRacer,v2,summarized,RAG0,7
JetRacer,v3,notsummarized,RAG0,7
JetRacer,v3,summarized,RAG1,7
JetRacer,v1,notsummarized,RAG0,8
JetRacer,v1,summarized,RAG1,8
JetRacer,v2,notsummarized,RAG1,8
JetRacer,v2,summarized,RAG0,8
JetRacer,v3,notsummarized,RAG0,8
JetRacer,v3,summarized,RAG1,8
JetRacer,v1,notsummarized,RAG0,9
JetRacer,v1,summarized,RAG1,9
JetRacer,v2,notsummarized,RAG1,9
JetRacer,v2,summarized,RAG0,9
JetRacer,v3,notsummarized,RAG0,9
JetRacer,v3,summarized,RAG1,9
JetRacer,v1,notsummarized,RAG0,10
JetRacer,v1,summarized,RAG1,10
JetRacer,v2,notsummarized,RAG1,10
JetRacer,v2,summarized,RAG0,10
JetRacer,v3,notsummarized,RAG0,10
JetRacer,v3,summarized,RAG1,10
OpenEnergyMonitor,v1,notsummarized,RAG0,1
OpenEnergyMonitor,v1,summarized,RAG1,1
OpenEnergyMonitor,v2,notsummarized,RAG1,1
OpenEnergyMonitor,v2,summarized,RAG0,1
OpenEnergyMonitor,v3,notsummarized,RAG0,1
OpenEnergyMonitor,v3,summarized,RAG1,1
OpenEnergyMonitor,v1,notsummarized,RAG0,2
OpenEnergyMonitor,v1,summarized,RAG1,2
OpenEnergyMonitor,v2,notsummarized,RAG1,2
OpenEnergyMonitor,v2,summarized,RAG0,2
OpenEnergyMonitor,v3,notsummarized,RAG0,2
OpenEnergyMonitor,v3,summarized,RAG1,2
OpenEnergyMonitor,v1,notsummarized,RAG0,3
OpenEnergyMonitor,v1,summarized,RAG1,3
OpenEnergyMonitor,v2,notsummarized,RAG1,3
OpenEnergyMonitor,v2,summarized,RAG0,3
OpenEnergyMonitor,v3,notsummarized,RAG0,3
OpenEnergyMonitor,v3,summarized,RAG1,3
OpenEnergyMonitor,v1,notsummarized,RAG0,4
OpenEnergyMonitor,v1,summarized,RAG1,4
OpenEnergyMonitor,v2,notsummarized,RAG1,4
OpenEnergyMonitor,v2,summarized,RAG0,4
OpenEnergyMonitor,v3,notsummarized,RAG0,4
OpenEnergyMonitor,v3,summarized,RAG1,4
OpenEnergyMonitor,v1,notsummarized,RAG0,5
OpenEnergyMonitor,v1,summarized,RAG1,5
OpenEnergyMonitor,v2,notsummarized,RAG1,5
OpenEnergyMonitor,v2,summarized,RAG0,5
OpenEnergyMonitor,v3,notsummarized,RAG0,5
OpenEnergyMonitor,v3,summarized,RAG1,5
OpenEnergyMonitor,v1,notsummarized,RAG0,6
OpenEnergyMonitor,v1,summarized,RAG1,6
OpenEnergyMonitor,v2,notsummarized,RAG1,6
OpenEnergyMonitor,v2,summarized,RAG0,6
OpenEnergyMonitor,v3,notsummarized,RAG0,6
OpenEnergyMonitor,v3,summarized,RAG1,6
OpenEnergyMonitor,v1,notsummarized,RAG0,7
OpenEnergyMonitor,v1,summarized,RAG1,7
OpenEnergyMonitor,v2,notsummarized,RAG1,7
OpenEnergyMonitor,v2,summarized,RAG0,7
OpenEnergyMonitor,v3,notsummarized,RAG0,7
OpenEnergyMonitor,v3,summarized,RAG1,7
OpenEnergyMonitor,v1,notsummarized,RAG0,8
OpenEnergyMonitor,v1,summarized,RAG1,8
OpenEnergyMonitor,v2,notsummarized,RAG1,8
OpenEnergyMonitor,v2,summarized,RAG0,8
OpenEnergyMonitor,v3,notsummarized,RAG0,8
OpenEnergyMonitor,v3,summarized,RAG1,8
OpenEnergyMonitor,v1,notsummarized,RAG0,9
OpenEnergyMonitor,v1,summarized,RAG1,9
OpenEnergyMonitor,v2,notsummarized,RAG1,9
OpenEnergyMonitor,v2,summarized,RAG0,9
OpenEnergyMonitor,v3,notsummarized,RAG0,9
OpenEnergyMonitor,v3,summarized,RAG1,9
OpenEnergyMonitor,v1,notsummarized,RAG0,10
OpenEnergyMonitor,v1,summarized,RAG1,10
OpenEnergyMonitor,v2,notsummarized,RAG1,10
OpenEnergyMonitor,v2,summarized,RAG0,10
OpenEnergyMonitor,v3,notsummarized,RAG0,10
OpenEnergyMonitor,v3,summarized,RAG1,10
Stack4Things,v1,notsummarized,RAG0,1
Stack4Things,v1,summarized,RAG1,1
Stack4Things,v2,notsummarized,RAG1,1
Stack4Things,v2,summarized,RAG0,1
Stack4Things,v3,notsummarized,RAG0,1
Stack4Things,v3,summarized,RAG1,1
Stack4Things,v1,notsummarized,RAG0,2
Stack4Things,v1,summarized,RAG1,2
Stack4Things,v2,notsummarized,RAG1,2
Stack4Things,v2,summarized,RAG0,2
Stack4Things,v3,notsummarized,RAG0,2
Stack4Things,v3,summarized,RAG1,2
Stack4Things,v1,notsummarized,RAG0,3
Stack4Things,v1,summarized,RAG1,3
Stack4Things,v2,notsummarized,RAG1,3
Stack4Things,v2,summarized,RAG0,3
Stack4Things,v3,notsummarized,RAG0,3
Stack4Things,v3,summarized,RAG1,3
Stack4Things,v1,notsummarized,RAG0,4
Stack4Things,v1,summarized,RAG1,4
Stack4Things,v2,notsummarized,RAG1,4
Stack4Things,v2,summarized,RAG0,4
Stack4Things,v3,notsummarized,RAG0,4
Stack4Things,v3,summarized,RAG1,4
Stack4Things,v1,notsummarized,RAG0,5
Stack4Things,v1,summarized,RAG1,5
Stack4Things,v2,notsummarized,RAG1,5
Stack4Things,v2,summarized,RAG0,5
Stack4Things,v3,notsummarized,RAG0,5
Stack4Things,v3,summarized,RAG1,5
Stack4Things,v1,notsummarized,RAG0,6
Stack4Things,v1,summarized,RAG1,6
Stack4Things,v2,notsummarized,RAG1,6
Stack4Things,v2,summarized,RAG0,6
Stack4Things,v3,notsummarized,RAG0,6
Stack4Things,v3,summarized,RAG1,6
Stack4Things,v1,notsummarized,RAG0,7
Stack4Things,v1,summarized,RAG1,7
Stack4Things,v2,notsummarized,RAG1,7
Stack4Things,v2,summarized,RAG0,7
Stack4Things,v3,notsummarized,RAG0,7
Stack4Things,v3,summarized,RAG1,7
Stack4Things,v1,notsummarized,RAG0,8
Stack4Things,v1,summarized,RAG1,8
Stack4Things,v2,notsummarized,RAG1,8
Stack4Things,v2,summarized,RAG0,8
Stack4Things,v3,notsummarized,RAG0,8
Stack4Things,v3,summarized,RAG1,8
Stack4Things,v1,notsummarized,RAG0,9
Stack4Things,v1,summarized,RAG1,9
Stack4Things,v2,notsummarized,RAG1,9
Stack4Things,v2,summarized,RAG0,9
Stack4Things,v3,notsummarized,RAG0,9
Stack4Things,v3,summarized,RAG1,9
Stack4Things,v1,notsummarized,RAG0,10
Stack4Things,v1,summarized,RAG1,10
Stack4Things,v2,notsummarized,RAG1,10
Stack4Things,v2,summarized,RAG0,10
Stack4Things,v3,notsummarized,RAG0,10
Stack4Things,v3,summarized,RAG1,10
WordPress,v1,notsummarized,RAG0,1
WordPress,v1,summarized,RAG1,1
WordPress,v2,notsummarized,RAG1,1
WordPress,v2,summarized,RAG0,1
WordPress,v3,notsummarized,RAG0,1
WordPress,v3,summarized,RAG1,1
WordPress,v1,notsummarized,RAG0,2
WordPress,v1,summarized,RAG1,2
WordPress,v2,notsummarized,RAG1,2
WordPress,v2,summarized,RAG0,2
WordPress,v3,notsummarized,RAG0,2
WordPress,v3,summarized,RAG1,2
WordPress,v1,notsummarized,RAG0,3
WordPress,v1,summarized,RAG1,3
WordPress,v2,notsummarized,RAG1,3
WordPress,v2,summarized,RAG0,3
WordPress,v3,notsummarized,RAG0,3
WordPress,v3,summarized,RAG1,3
WordPress,v1,notsummarized,RAG0,4
WordPress,v1,summarized,RAG1,4
WordPress,v2,notsummarized,RAG1,4
WordPress,v2,summarized,RAG0,4
WordPress,v3,notsummarized,RAG0,4
WordPress,v3,summarized,RAG1,4
WordPress,v1,notsummarized,RAG0,5
WordPress,v1,summarized,RAG1,5
WordPress,v2,notsummarized,RAG1,5
WordPress,v2,summarized,RAG0,5
WordPress,v3,notsummarized,RAG0,5
WordPress,v3,summarized,RAG1,5
WordPress,v1,notsummarized,RAG0,6
WordPress,v1,summarized,RAG1,6
WordPress,v2,notsummarized,RAG1,6
WordPress,v2,summarized,RAG0,6
WordPress,v3,notsummarized,RAG0,6
WordPress,v3,summarized,RAG1,6
WordPress,v1,notsummarized,RAG0,7
WordPress,v1,summarized,RAG1,7
WordPress,v2,notsummarized,RAG1,7
WordPress,v2,summarized,RAG0,7
WordPress,v3,notsummarized,RAG0,7
WordPress,v3,summarized,RAG1,7
WordPress,v1,notsummarized,RAG0,8
WordPress,v1,summarized,RAG1,8
WordPress,v2,notsummarized,RAG1,8
WordPress,v2,summarized,RAG0,8
WordPress,v3,notsummarized,RAG0,8
WordPress,v3,summarized,RAG1,8
WordPress,v1,notsummarized,RAG0,9
WordPress,v1,summarized,RAG1,9
WordPress,v2,notsummarized,RAG1,9
WordPress,v2,summarized,RAG0,9
WordPress,v3,notsummarized,RAG0,9
WordPress,v3,summarized,RAG1,9
WordPress,v1,notsummarized,RAG0,10
WordPress,v1,summarized,RAG1,10
WordPress,v2,notsummarized,RAG1,10
WordPress,v2,summarized,RAG0,10
WordPress,v3,notsummarized,RAG0,10
WordPress,v3,summarized,RAG1,10
eWeLink,v1,notsummarized,RAG0,1
eWeLink,v1,summarized,RAG1,1
eWeLink,v2,notsummarized,RAG1,1
eWeLink,v2,summarized,RAG0,1
eWeLink,v3,notsummarized,RAG0,1
eWeLink,v3,summarized,RAG1,1
eWeLink,v1,notsummarized,RAG0,2
eWeLink,v1,summarized,RAG1,2
eWeLink,v2,notsummarized,RAG1,2
eWeLink,v2,summarized,RAG0,2
eWeLink,v3,notsummarized,RAG0,2
eWeLink,v3,summarized,RAG1,2
eWeLink,v1,notsummarized,RAG0,3
eWeLink,v1,summarized,RAG1,3
eWeLink,v2,notsummarized,RAG1,3
eWeLink,v2,summarized,RAG0,3
eWeLink,v3,notsummarized,RAG0,3
eWeLink,v3,summarized,RAG1,3
eWeLink,v1,notsummarized,RAG0,4
eWeLink,v1,summarized,RAG1,4
eWeLink,v2,notsummarized,RAG1,4
eWeLink,v2,summarized,RAG0,4
eWeLink,v3,notsummarized,RAG0,4
eWeLink,v3,summarized,RAG1,4
eWeLink,v1,notsummarized,RAG0,5
eWeLink,v1,summarized,RAG1,5
eWeLink,v2,notsummarized,RAG1,5
eWeLink,v2,summarized,RAG0,5
eWeLink,v3,notsummarized,RAG0,5
eWeLink,v3,summarized,RAG1,5
eWeLink,v1,notsummarized,RAG0,6
eWeLink,v1,summarized,RAG1,6
eWeLink,v2,notsummarized,RAG1,6
eWeLink,v2,summarized,RAG0,6
eWeLink,v3,notsummarized,RAG0,6
eWeLink,v3,summarized,RAG1,6
eWeLink,v1,notsummarized,RAG0,7
eWeLink,v1,summarized,RAG1,7
eWeLink,v2,notsummarized,RAG1,7
eWeLink,v2,summarized,RAG0,7
eWeLink,v3,notsummarized,RAG0,7
eWeLink,v3,summarized,RAG1,7
eWeLink,v1,notsummarized,RAG0,8
eWeLink,v1,summarized,RAG1,8
eWeLink,v2,notsummarized,RAG1,8
eWeLink,v2,summarized,RAG0,8
eWeLink,v3,notsummarized,RAG0,8
eWeLink,v3,summarized,RAG1,8
eWeLink,v1,notsummarized,RAG0,9
eWeLink,v1,summarized,RAG1,9
eWeLink,v2,notsummarized,RAG1,9
eWeLink,v2,summarized,RAG0,9
eWeLink,v3,notsummarized,RAG0,9
eWeLink,v3,summarized,RAG1,9
eWeLink,v1,notsummarized,RAG0,10
eWeLink,v1,summarized,RAG1,10
eWeLink,v2,notsummarized,RAG1,10
eWeLink,v2,summarized,RAG0,10
eWeLink,v3,notsummarized,RAG0,10
eWeLink,v3,summarized,RAG1,10
