case,version,RAG,mode,iterations,created at,updated at,graph_edit_distance,validity_edit_distance
BookInfo,v1,0,notsummarized,7,,,88,20
BookInfo,v3,0,notsummarized,5,,,89,19
BookInfo,v3,0,summarized,6,,,66,4
JetRacer,v3,0,notsummarized,8,,,77,11
JetRacer,v2,0,summarized,20,,,77,28
JetRacer,v3,0,summarized,18,,,78,16
JetRacer,v2,1,notsummarized,9,,,90,31
JetRacer,v3,1,notsummarized,5,,,82,20
JetRacer,v3,1,summarized,9,,,100,56
Open Energy Monitor,v1,0,summarized,8,,,63,38
Open Energy Monitor,v2,0,notsummarized,17,,,61,28
Open Energy Monitor,v2,0,summarized,15,,,56,19
Open Energy Monitor,v3,0,notsummarized,3,,,56,13
Open Energy Monitor,v3,0,summarized,6,,,69,21
Open Energy Monitor,v1,1,summarized,10,,,52,14
Open Energy Monitor,v2,1,notsummarized,16,,,38,11
Open Energy Monitor,v2,1,summarized,11,,,52,12
Open Energy Monitor,v3,1,notsummarized,9,,,40,3
Open Energy Monitor,v3,1,summarized,19,,,49,12
Stack4Things,v2,1,notsummarized,5,,,145,19
WordPress,v2,0,summarized,11,,,20,15
WordPress,v3,0,notsummarized,7,,,24,12
WordPress,v3,0,summarized,6,,,40,28
eWeLink,v2,0,summarized,25,,,14,5
eWeLink,v3,0,notsummarized,8,,,19,14
eWeLink,v3,0,summarized,26,,,28,23
BookInfo,v1,1,summarized,28,,,84,41
BookInfo,v2,1,notsummarized,7,,,105,45
BookInfo,v3,1,notsummarized,17,,,101,44
BookInfo,v3,1,summarized,12,,,78,28
JetRacer,v3,0,notsummarized,4,,,79,10
JetRacer,v3,0,summarized,8,,,83,26
JetRacer,v2,1,notsummarized,13,,,98,47
JetRacer,v2,1,summarized,11,,,97,75
BookInfo,v2,0,notsummarized,27,,,85,8
BookInfo,v3,0,notsummarized,5,,,74,17
BookInfo,v3,1,summarized,21,,,104,50
JetRacer,v1,0,summarized,27,,,74,11
JetRacer,v3,0,notsummarized,11,,,78,13
JetRacer,v3,0,summarized,13,,,75,11
JetRacer,v1,1,notsummarized,6,,,83,24
JetRacer,v1,1,summarized,12,,,94,36
JetRacer,v2,1,notsummarized,5,,,83,25
Open Energy Monitor,v2,0,summarized,6,,,54,12
Open Energy Monitor,v3,0,notsummarized,6,,,55,12
Open Energy Monitor,v3,0,summarized,6,,,52,12
Open Energy Monitor,v1,1,notsummarized,17,,,34,8
Open Energy Monitor,v1,1,summarized,7,,,117,16
Open Energy Monitor,v2,1,notsummarized,14,,,28,4
Open Energy Monitor,v3,1,notsummarized,7,,,45,10
Open Energy Monitor,v3,1,summarized,10,,,46,5
WordPress,v1,0,summarized,3,,,36,20
WordPress,v2,0,notsummarized,14,,,18,8
WordPress,v2,0,summarized,7,,,34,24
WordPress,v3,0,notsummarized,10,,,31,18
eWeLink,v1,0,summarized,7,,,14,5
eWeLink,v2,0,notsummarized,9,,,24,10
eWeLink,v2,0,summarized,15,,,35,24
eWeLink,v3,0,notsummarized,12,,,21,13
eWeLink,v3,0,summarized,14,,,28,19
BookInfo,v3,0,summarized,13,,,99,41
BookInfo,v2,1,notsummarized,21,,,95,29
JetRacer,v1,0,notsummarized,29,,,75,12
JetRacer,v2,0,summarized,11,,,81,20
JetRacer,v3,0,summarized,5,,,78,27
JetRacer,v1,1,notsummarized,15,,,61,13
JetRacer,v2,1,summarized,6,,,74,27
JetRacer,v3,1,notsummarized,3,,,63,16
JetRacer,v3,1,summarized,4,,,95,18
Open Energy Monitor,v3,1,summarized,20,,,57,15
Stack4Things,v3,1,notsummarized,21,,,142,16
BookInfo,v3,0,summarized,21,,,87,32
JetRacer,v3,0,notsummarized,12,,,74,14
JetRacer,v3,0,summarized,20,,,92,37
WordPress,v2,0,notsummarized,14,,,23,9
WordPress,v2,0,summarized,14,,,36,18
WordPress,v3,0,notsummarized,27,,,33,23
WordPress,v3,0,summarized,4,,,37,29
eWeLink,v1,0,notsummarized,4,,,18,6
eWeLink,v1,0,summarized,7,,,23,14
eWeLink,v2,0,notsummarized,24,,,21,7
eWeLink,v3,0,notsummarized,4,,,17,6
eWeLink,v3,0,summarized,9,,,21,14
Open Energy Monitor,v3,0,notsummarized,10,,,54,17
Open Energy Monitor,v3,0,summarized,18,,,49,10
Open Energy Monitor,v1,1,summarized,8,,,45,8
Open Energy Monitor,v2,1,summarized,13,,,48,7
Open Energy Monitor,v3,1,notsummarized,5,,,45,3
Open Energy Monitor,v3,1,summarized,10,,,48,9
Stack4Things,v1,1,summarized,6,,,137,25
BookInfo,v1,1,summarized,25,,,84,13
JetRacer,v3,1,summarized,5,,,73,26
JetRacer,v1,1,notsummarized,10,,,62,22
Open Energy Monitor,v3,0,summarized,3,,,63,23
Open Energy Monitor,v2,0,notsummarized,17,,,55,12
JetRacer,v2,1,notsummarized,17,,,85,42
eWeLink,v1,0,notsummarized,15,,,25,16
WordPress,v2,0,notsummarized,9,,,20,3
eWeLink,v3,0,summarized,4,,,26,15
eWeLink,v3,0,notsummarized,14,,,22,17
Open Energy Monitor,v1,1,notsummarized,14,,,42,16
eWeLink,v3,0,notsummarized,16,,,23,19
Open Energy Monitor,v3,0,summarized,4,,,65,28
eWeLink,v3,0,summarized,8,,,35,26
Open Energy Monitor,v1,0,summarized,7,,,52,21
eWeLink,v2,0,summarized,10,,,32,23
BookInfo,v1,0,notsummarized,17,,,89,14
JetRacer,v3,0,summarized,6,,,74,10
JetRacer,v1,1,notsummarized,18,,,90,36
JetRacer,v2,0,notsummarized,5,,,78,9
eWeLink,v3,0,notsummarized,21,,,18,17
Open Energy Monitor,v2,0,summarized,16,,,58,26
BookInfo,v2,0,summarized,12,,,94,36
JetRacer,v3,1,notsummarized,9,,,86,40
Open Energy Monitor,v3,0,notsummarized,11,,,57,19
WordPress,v2,0,notsummarized,10,,,22,14
JetRacer,v3,1,notsummarized,4,,,88,41
eWeLink,v3,0,summarized,7,,,22,13
JetRacer,v1,1,notsummarized,14,,,82,24
WordPress,v3,0,notsummarized,6,,,16,6
Open Energy Monitor,v3,0,notsummarized,23,,,40,6
JetRacer,v3,0,notsummarized,4,,,73,10
WordPress,v3,0,notsummarized,16,,,17,9
JetRacer,v2,0,summarized,9,,,77,17
JetRacer,v3,0,notsummarized,5,,,78,9
JetRacer,v3,1,notsummarized,4,,,74,29
eWeLink,v1,0,notsummarized,15,,,17,6
eWeLink,v2,0,summarized,20,,,31,19
WordPress,v3,0,notsummarized,9,,,25,15
BookInfo,v1,0,summarized,16,,,104,48
WordPress,v1,0,summarized,15,,,35,26
eWeLink,v3,0,notsummarized,5,,,22,8
WordPress,v1,0,summarized,8,,,47,28
Open Energy Monitor,v2,0,notsummarized,7,,,44,3
Open Energy Monitor,v1,0,summarized,10,,,51,18
Open Energy Monitor,v1,0,summarized,22,,,59,15
Open Energy Monitor,v2,1,notsummarized,16,,,50,10
Open Energy Monitor,v1,1,summarized,12,,,33,12
JetRacer,v1,0,notsummarized,10,,,74,11
JetRacer,v2,0,summarized,4,,,83,19
eWeLink,v2,0,summarized,9,,,34,30
Open Energy Monitor,v1,0,summarized,21,,,51,14
Open Energy Monitor,v3,1,summarized,4,,,56,11
Open Energy Monitor,v2,1,notsummarized,5,,,56,7
BookInfo,v3,1,summarized,21,,,103,48
WordPress,v2,0,summarized,7,,,50,30
WordPress,v1,0,summarized,10,,,54,31
Open Energy Monitor,v3,1,notsummarized,7,,,48,9
Open Energy Monitor,v3,0,summarized,4,,,58,22
eWeLink,v3,0,notsummarized,29,,,16,7
WordPress,v3,0,summarized,1,,,37,20
WordPress,v3,0,summarized,15,,,36,28
WordPress,v2,0,notsummarized,14,,,16,7
WordPress,v3,0,summarized,5,,,37,24
WordPress,v3,0,summarized,10,,,40,22
eWeLink,v3,0,notsummarized,7,,,19,4
JetRacer,v2,1,summarized,25,,,67,36
Open Energy Monitor,v3,1,notsummarized,3,,,45,9
Open Energy Monitor,v3,1,summarized,14,,,36,6
WordPress,v3,0,summarized,27,,,49,35
Open Energy Monitor,v2,1,notsummarized,24,,,39,11
Open Energy Monitor,v3,0,summarized,7,,,60,34
eWeLink,v3,0,summarized,3,,,17,17
Open Energy Monitor,v3,1,summarized,18,,,45,13
Open Energy Monitor,v2,1,summarized,13,,,53,13
eWeLink,v1,0,notsummarized,14,,,17,10
WordPress,v1,0,notsummarized,8,,,17,7
JetRacer,v3,1,notsummarized,11,,,85,34
WordPress,v1,0,summarized,5,,,33,13
Open Energy Monitor,v2,0,summarized,19,,,58,21
Open Energy Monitor,v2,1,notsummarized,11,,,51,11
JetRacer,v3,1,summarized,4,,,71,22
WordPress,v2,0,summarized,13,,,29,23
WordPress,v3,0,summarized,20,,,53,45
Open Energy Monitor,v3,0,notsummarized,4,,,55,7
Open Energy Monitor,v3,1,summarized,11,,,46,9
WordPress,v1,0,notsummarized,18,,,16,8
Open Energy Monitor,v3,0,summarized,5,,,53,16
WordPress,v3,0,summarized,9,,,36,25
eWeLink,v1,0,notsummarized,10,,,19,9
WordPress,v3,0,notsummarized,9,,,24,11
WordPress,v2,0,summarized,2,,,34,17
WordPress,v1,0,notsummarized,19,,,19,9
eWeLink,v2,0,notsummarized,11,,,27,10
