case,version,mode,RAG,n_total,n_success,p_hat,p_ci_lower,p_ci_upper,p_target_halfwidth,n_required_for_p,sufficient_for_p?,n_success_iter,mean_iterations_success,std_iterations_success,iter_ci_lower,iter_ci_upper,iter_target_halfwidth,n_required_for_iter,sufficient_for_iter?
BookInfo,v1,notsummarized,0,12,2,0.16666666666666666,0.07597774658089781,0.3641043085205389,0.2,5.702688941492415,True,2.0,12.0,7.0710678118654755,5.592242172276999,18.407757827723003,4.0,5.132420047343175,False
BookInfo,v1,notsummarized,1,9,2,0.2222222222222222,0.10428502649065124,0.4702253963223821,0.2,7.096679571635006,True,2.0,9.0,1.4142135623730951,7.7184484344554,10.2815515655446,4.0,0.20529680189372707,True
BookInfo,v1,summarized,0,9,2,0.2222222222222222,0.10428502649065124,0.4702253963223821,0.2,7.096679571635006,True,2.0,12.5,4.949747468305833,8.014569520593898,16.9854304794061,4.0,2.514885823198156,False
BookInfo,v1,summarized,1,7,3,0.42857142857142855,0.2497157812632108,0.727421603678565,0.2,10.055353562141727,False,3.0,27.333333333333332,2.081665999466133,25.79310003942593,28.873566627240734,4.0,0.44480973743640867,True
BookInfo,v2,notsummarized,0,8,1,0.125,0.041730496462280206,0.3711815446768133,0.2,4.490867541425277,True,1.0,27.0,0.0,,,4.0,,False
BookInfo,v2,notsummarized,1,8,3,0.375,0.2135443296380766,0.6528214140327044,0.2,9.623287588768452,False,3.0,15.666666666666666,7.571877794400365,10.064202928812197,21.269130404521135,4.0,5.885174987620173,False
BookInfo,v2,summarized,0,8,1,0.125,0.041730496462280206,0.3711815446768133,0.2,4.490867541425277,True,1.0,12.0,0.0,,,4.0,,False
BookInfo,v2,summarized,1,8,0,0.0,0.0,0.18618518987324975,0.2,0.0,True,,,,,,4.0,,False
BookInfo,v3,notsummarized,0,10,2,0.2,0.0927815029611577,0.42863766361606537,0.2,6.569497660599263,True,2.0,5.0,0.0,5.0,5.0,4.0,,False
BookInfo,v3,notsummarized,1,7,1,0.14285714285714285,0.04836088752048817,0.4173451898921756,0.2,5.027676781070865,True,1.0,17.0,0.0,,,4.0,,False
BookInfo,v3,summarized,0,6,3,0.5,0.30050084266319577,0.8198868820224694,0.2,10.264840094686349,False,3.0,13.333333333333334,7.505553499465135,7.7799432159733986,18.886723450693268,4.0,5.7825265866733115,False
BookInfo,v3,summarized,1,7,4,0.5714285714285714,0.37757360814548874,0.855279430560843,0.2,10.05535356214173,False,4.0,18.0,4.242640687119285,15.28141859268953,20.71858140731047,4.0,1.847671217043543,True
JetRacer,v1,notsummarized,0,10,2,0.2,0.0927815029611577,0.42863766361606537,0.2,6.569497660599263,True,2.0,19.5,13.435028842544403,7.325260127326299,31.6747398726737,4.0,18.52803637090886,False
JetRacer,v1,notsummarized,1,10,6,0.6,0.4318092214484012,0.8289003618402104,0.2,9.854246490898895,True,6.0,12.5,4.183300132670378,10.311334033971006,14.688665966028994,4.0,1.7963470165701116,True
JetRacer,v1,summarized,0,9,2,0.2222222222222222,0.10428502649065124,0.4702253963223821,0.2,7.096679571635006,True,2.0,26.5,0.7071067811865476,25.8592242172277,27.1407757827723,4.0,0.051324200473431766,True
JetRacer,v1,summarized,1,7,6,0.8571428571428571,0.6876500219318782,1.0566343243035656,0.2,5.027676781070865,True,6.0,7.333333333333333,4.589843860815601,4.931967251779517,9.73469941488715,4.0,2.1624596466139243,True
JetRacer,v2,notsummarized,0,10,1,0.1,0.032718416209510236,0.3038781461898657,0.2,3.695342434087086,True,1.0,5.0,0.0,,,4.0,,False
JetRacer,v2,notsummarized,1,10,4,0.4,0.24698661727055413,0.6440777576623633,0.2,9.854246490898896,True,4.0,11.0,5.163977794943222,7.6910480862264805,14.30895191377352,4.0,2.73729069191636,True
JetRacer,v2,summarized,0,10,4,0.4,0.24698661727055413,0.6440777576623633,0.2,9.854246490898896,True,4.0,11.0,6.683312551921141,6.717495168030792,15.282504831969208,4.0,4.584961908959903,False
JetRacer,v2,summarized,1,5,3,0.6,0.377033196949655,0.9358217487227775,0.2,9.854246490898895,False,3.0,14.0,9.848857801796104,6.712789324907822,21.287210675092176,4.0,9.95689489184576,False
JetRacer,v3,notsummarized,0,10,6,0.6,0.4318092214484012,0.8289003618402104,0.2,9.854246490898895,True,6.0,7.333333333333333,3.5590260840104366,5.471282078284915,9.195384588381751,4.0,1.3002130786602708,True
JetRacer,v3,notsummarized,1,7,6,0.8571428571428571,0.6876500219318782,1.0566343243035656,0.2,5.027676781070865,True,6.0,6.0,3.22490309931942,4.312758962212863,7.687241037787137,4.0,1.0675433698473806,True
JetRacer,v3,summarized,0,8,6,0.75,0.5724595097022023,0.9740867877661101,0.2,7.698630071014762,True,6.0,11.666666666666666,6.3456021516217564,8.346703235224002,14.98663009810933,4.0,4.133308944793703,True
JetRacer,v3,summarized,1,3,3,1.0,0.7850963161535157,1.2149036838464844,0.2,0.0,True,3.0,6.0,2.6457513110645907,4.042397647967569,7.957602352032431,4.0,0.7185388066280447,True
Open Energy Monitor,v1,notsummarized,0,7,2,0.2857142857142857,0.1384956694131119,0.5829260617641079,0.2,8.379461301784774,False,2.0,5.0,4.242640687119285,1.1553453033661993,8.8446546966338,4.0,1.847671217043543,True
Open Energy Monitor,v1,notsummarized,1,8,4,0.5,0.3209816435787243,0.7721109513579005,0.2,10.264840094686349,False,4.0,16.0,5.477225575051661,12.49032649472581,19.50967350527419,4.0,3.0794520284059055,True
Open Energy Monitor,v1,summarized,0,10,6,0.6,0.4318092214484012,0.8289003618402104,0.2,9.854246490898895,True,6.0,11.5,8.312640976248161,7.150899095083899,15.849100904916101,4.0,7.093004505428268,False
Open Energy Monitor,v1,summarized,1,9,5,0.5555555555555556,0.38098729367250755,0.8044472336492258,0.2,10.138113673764293,False,5.0,7.6,4.159326868617084,5.216176290826361,9.983823709173638,4.0,1.7758173363807386,True
Open Energy Monitor,v2,notsummarized,0,9,3,0.3333333333333333,0.18647838896609711,0.5916734020165029,0.2,9.124302306387866,False,3.0,13.666666666666666,5.773502691896257,9.394828114851332,17.938505218482,4.0,3.42161336489545,False
Open Energy Monitor,v2,notsummarized,1,9,5,0.5555555555555556,0.38098729367250755,0.8044472336492258,0.2,10.138113673764293,False,5.0,15.0,6.782329983125268,11.112861641338412,18.887138358661588,4.0,4.721826443555721,True
Open Energy Monitor,v2,summarized,0,4,3,0.75,0.5062157323448754,1.0789486859009751,0.2,7.698630071014762,False,3.0,12.333333333333334,5.507570547286102,8.258259076632491,16.408407590034177,4.0,3.1136681620548603,False
Open Energy Monitor,v2,summarized,1,9,3,0.3333333333333333,0.18647838896609711,0.5916734020165029,0.2,9.124302306387866,False,3.0,12.333333333333334,1.1547005383792517,11.478965622970266,13.187701043696402,4.0,0.13686453459581804,True
Open Energy Monitor,v3,notsummarized,0,7,5,0.7142857142857143,0.5220691500599459,0.9664995424109419,0.2,8.379461301784774,False,5.0,10.6,7.63544366752843,6.223918912925989,14.97608108707401,4.0,5.984401775202143,False
Open Energy Monitor,v3,notsummarized,1,6,5,0.8333333333333334,0.6438547632941809,1.0629411449343744,0.2,5.702688941492415,True,5.0,6.2,2.280350850198276,4.89306871192254,7.50693128807746,4.0,0.5337716849236904,True
Open Energy Monitor,v3,summarized,0,8,7,0.875,0.7219110502598116,1.0513620984743446,0.2,4.490867541425277,True,7.0,6.857142857142857,5.11300861947808,4.380498822787807,9.333786891497907,4.0,2.6835224818965746,True
Open Energy Monitor,v3,summarized,1,8,7,0.875,0.7219110502598116,1.0513620984743446,0.2,4.490867541425277,True,7.0,13.571428571428571,5.883795341363228,10.721430123148869,16.421427019708272,4.0,3.553589880398561,True
Stack4Things,v1,notsummarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v1,notsummarized,1,4,1,0.25,0.09138015059072603,0.6641131041468258,0.2,7.698630071014762,False,1.0,22.0,0.0,,,4.0,,False
Stack4Things,v1,summarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v1,summarized,1,4,2,0.5,0.26945826607874607,0.900870570412955,0.2,10.264840094686349,False,2.0,9.5,4.949747468305833,5.0145695205938985,13.985430479406102,4.0,2.514885823198156,False
Stack4Things,v2,notsummarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v2,notsummarized,1,4,1,0.25,0.09138015059072603,0.6641131041468258,0.2,7.698630071014762,False,1.0,5.0,0.0,,,4.0,,False
Stack4Things,v2,summarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v2,summarized,1,3,0,0.0,0.0,0.4298073676929685,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v3,notsummarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v3,notsummarized,1,3,1,0.3333333333333333,0.12850720998548637,0.8246977018098259,0.2,9.124302306387866,False,1.0,21.0,0.0,,,4.0,,False
Stack4Things,v3,summarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v3,summarized,1,2,0,0.0,0.0,0.5821571892641612,0.2,0.0,True,,,,,,4.0,,False
WordPress,v1,notsummarized,0,5,4,0.8,0.58598609151693,1.0704413813192863,0.2,6.569497660599262,False,4.0,8.25,6.18465843842649,4.287020647937954,12.212979352062046,4.0,3.9263013362175285,True
WordPress,v1,summarized,0,9,6,0.6666666666666666,0.49194044122044706,0.8971354542708528,0.2,9.124302306387866,False,6.0,7.0,5.0990195135927845,4.332237679443212,9.667762320556788,4.0,2.6688584246184512,True
WordPress,v2,notsummarized,0,6,5,0.8333333333333334,0.6438547632941809,1.0629411449343744,0.2,5.702688941492415,True,5.0,12.2,2.4899799195977463,10.77292457284635,13.627075427153649,4.0,0.6364200858705538,True
WordPress,v2,summarized,0,7,4,0.5714285714285714,0.37757360814548874,0.855279430560843,0.2,10.05535356214173,False,4.0,9.75,3.4034296427770228,7.5691647065391034,11.930835293460897,4.0,1.1890106443011688,True
WordPress,v3,notsummarized,0,8,6,0.75,0.5724595097022023,0.9740867877661101,0.2,7.698630071014762,True,6.0,12.5,7.918333157931662,8.357197489824602,16.6428025101754,4.0,6.436054739368342,False
WordPress,v3,summarized,0,8,7,0.875,0.7219110502598116,1.0513620984743446,0.2,4.490867541425277,True,7.0,9.714285714285714,8.864052604279182,5.420707385673727,14.007864042897701,4.0,8.065231502967844,False
eWeLink,v1,notsummarized,0,7,4,0.5714285714285714,0.37757360814548874,0.855279430560843,0.2,10.05535356214173,False,4.0,12.0,5.354126134736337,8.569205634952693,15.430794365047307,4.0,2.9425874938100876,True
eWeLink,v1,summarized,0,3,3,1.0,0.7850963161535157,1.2149036838464844,0.2,0.0,True,3.0,8.666666666666666,2.8867513459481287,6.530747390758998,10.802585942574334,4.0,0.8554033412238625,True
eWeLink,v2,notsummarized,0,4,2,0.5,0.26945826607874607,0.900870570412955,0.2,10.264840094686349,False,2.0,16.5,10.606601717798213,6.888363258415499,26.1116367415845,4.0,11.547945106522144,False
eWeLink,v2,summarized,0,9,5,0.5555555555555556,0.38098729367250755,0.8044472336492258,0.2,10.138113673764293,False,5.0,15.8,6.760177512462229,11.925557826671133,19.67444217332887,4.0,4.691031923271662,True
eWeLink,v3,notsummarized,0,9,9,1.0,0.9163861567630498,1.0836138432369502,0.2,0.0,True,9.0,12.88888888888889,8.192137151629671,9.38934015827986,16.388437619497918,4.0,6.888848241322839,True
eWeLink,v3,summarized,0,10,7,0.7,0.5351157414455652,0.9104164460208936,0.2,8.622465679536534,True,7.0,10.142857142857142,7.861903319777203,6.334700848845277,13.951013436869008,4.0,6.344648782334705,True
